title,url,imdbRating,duration,year,Action,Adventure,Animation,Comedy,Crime,Drama,Horror,Romance,Science-Fiction,Thriller,,,,
Frau ohne Gewissen (1944),http://www.imdb.com/title/tt0036775/,8.5,6420,1944,0,0,0,0,1,1,0,0,0,0,,,,
Die besten Jahre unseres Lebens (1946),http://www.imdb.com/title/tt0036868/,8.3,10320,1946,0,0,0,0,0,1,0,1,0,0,,,,
Tote schlafen fest (1946),http://www.imdb.com/title/tt0038355/,8.1,6840,1946,0,0,0,0,1,0,0,0,0,0,,,,
It's a Wonderful Life (1946),http://www.imdb.com/title/tt0038650/,8.7,7800,1946,0,0,0,0,0,1,0,0,0,0,,,,
Berüchtigt (1946),http://www.imdb.com/title/tt0038787/,8.2,6060,1946,0,0,0,0,0,1,0,1,0,0,,,,
Fahrraddiebe (1948),http://www.imdb.com/title/tt0040522/,8.4,5280,1948,0,0,0,0,0,1,0,0,0,0,,,,
Cocktail für eine Leiche (1948),http://www.imdb.com/title/tt0040746/,8.1,4800,1948,0,0,0,0,1,1,0,0,0,1,,,,
Der Schatz der Sierra Madre (1948),http://www.imdb.com/title/tt0040897/,8.4,7560,1948,1,1,0,0,0,1,0,0,0,0,,,,
Der dritte Mann (1949),http://www.imdb.com/title/tt0041959/,8.4,6240,1949,0,0,0,0,0,0,0,0,0,1,,,,
Alles über Eva (1950),http://www.imdb.com/title/tt0042192/,8.4,8280,1950,0,0,0,0,0,1,0,0,0,0,,,,
Rashomon (1950),http://www.imdb.com/title/tt0042876/,8.4,5280,1950,0,0,0,0,1,1,0,0,0,0,,,,
Boulevard der Dämmerung (1950),http://www.imdb.com/title/tt0043014/,8.6,6600,1950,0,0,0,0,0,1,0,0,0,0,,,,
Der Fremde im Zug (1951),http://www.imdb.com/title/tt0044079/,8.1,5520,1951,0,0,0,0,1,0,0,0,0,1,,,,
Zwölf Uhr mittags (1952),http://www.imdb.com/title/tt0044706/,8.2,5100,1952,0,0,0,0,0,1,0,0,0,0,,,,
Ikiru - Einmal richtig leben (1952),http://www.imdb.com/title/tt0044741/,8.4,8580,1952,0,0,0,0,0,1,0,0,0,0,,,,
Du sollst mein Glücksstern sein (1952),http://www.imdb.com/title/tt0045152/,8.4,6180,1952,0,0,0,1,0,0,0,1,0,0,,,,
Ein Herz und eine Krone (1953),http://www.imdb.com/title/tt0046250/,8.1,7080,1953,0,0,0,1,0,1,0,1,0,0,,,,
Stalag 17 (1953),http://www.imdb.com/title/tt0046359/,8.1,6960,1953,0,0,0,1,0,1,0,0,0,0,,,,
Die Teuflischen (1955),http://www.imdb.com/title/tt0046911/,8.3,6840,1955,0,0,0,0,0,0,1,0,0,1,,,,
Bei Anruf Mord (1954),http://www.imdb.com/title/tt0046912/,8.2,6300,1954,0,0,0,0,1,0,0,0,0,1,,,,
Die Faust im Nacken (1954),http://www.imdb.com/title/tt0047296/,8.3,6480,1954,0,0,0,0,1,1,0,0,0,0,,,,
Das Fenster zum Hof (1954),http://www.imdb.com/title/tt0047396/,8.6,6720,1954,0,0,0,0,0,0,0,0,0,1,,,,
Die sieben Samurai (1954),http://www.imdb.com/title/tt0047478/,8.8,12420,1954,1,0,0,0,0,1,0,0,0,0,,,,
Das Lied der Straße (1954),http://www.imdb.com/title/tt0047528/,8.2,6480,1954,0,0,0,0,0,1,0,0,0,0,,,,
Die Nacht des Jägers (1955),http://www.imdb.com/title/tt0048424/,8.1,5580,1955,0,0,0,0,1,0,0,0,0,1,,,,
Killing (1956),http://www.imdb.com/title/tt0049406/,8.1,5100,1956,0,0,0,0,1,0,0,0,0,1,,,,
Die zwölf Geschworenen (1957),http://www.imdb.com/title/tt0050083/,8.9,5760,1957,0,0,0,0,0,1,0,0,0,0,,,,
Die Brücke am Kwai (1957),http://www.imdb.com/title/tt0050212/,8.3,9660,1957,0,1,0,0,0,1,0,0,0,0,,,,
Wege zum Ruhm (1957),http://www.imdb.com/title/tt0050825/,8.5,5280,1957,0,0,0,0,0,1,0,0,0,0,,,,
Das siebente Siegel (1957),http://www.imdb.com/title/tt0050976/,8.3,5760,1957,0,0,0,0,0,1,0,0,0,0,,,,
Wilde Erdbeeren (1957),http://www.imdb.com/title/tt0050986/,8.3,5460,1957,0,0,0,0,0,1,0,0,0,0,,,,
Zeugin der Anklage (1957),http://www.imdb.com/title/tt0051201/,8.5,6960,1957,0,0,0,0,1,1,0,0,0,0,,,,
Im Zeichen des Bösen (1958),http://www.imdb.com/title/tt0052311/,8.2,5700,1958,0,0,0,0,1,0,0,0,0,1,,,,
Vertigo - Aus dem Reich der Toten (1958),http://www.imdb.com/title/tt0052357/,8.5,7680,1958,0,0,0,0,0,0,0,1,0,1,,,,
Ben Hur (1959),http://www.imdb.com/title/tt0052618/,8.2,12720,1959,0,1,0,0,0,1,0,0,0,0,,,,
Der unsichtbare Dritte (1959),http://www.imdb.com/title/tt0053125/,8.5,8160,1959,1,1,0,0,0,0,0,0,0,0,,,,
Sie küßten und sie schlugen ihn (1959),http://www.imdb.com/title/tt0053198/,8.2,5940,1959,0,0,0,0,1,1,0,0,0,0,,,,
Manche mögen's heiß (1959),http://www.imdb.com/title/tt0053291/,8.4,7200,1959,0,0,0,1,0,0,0,0,0,0,,,,
Das Appartement (1960),http://www.imdb.com/title/tt0053604/,8.4,7500,1960,0,0,0,1,0,1,0,1,0,0,,,,
Das süße Leben (1960),http://www.imdb.com/title/tt0053779/,8.1,10440,1960,0,0,0,1,0,1,0,0,0,0,,,,
Psycho (1960),http://www.imdb.com/title/tt0054215/,8.6,6540,1960,0,0,0,0,0,0,1,0,0,1,,,,
Haie der Großstadt (1961),http://www.imdb.com/title/tt0054997/,8.1,8040,1961,0,0,0,0,0,1,0,0,0,0,,,,
Das Urteil von Nürnberg (1961),http://www.imdb.com/title/tt0055031/,8.3,11160,1961,0,0,0,0,0,1,0,0,0,0,,,,
Die Leibwache (1961),http://www.imdb.com/title/tt0055630/,8.4,6600,1961,1,1,0,0,0,0,0,0,0,0,,,,
Lawrence von Arabien (1962),http://www.imdb.com/title/tt0056172/,8.4,12960,1962,0,1,0,0,0,1,0,0,0,0,,,,
Wer die Nachtigall stört (1962),http://www.imdb.com/title/tt0056592/,8.4,7740,1962,0,0,0,0,1,1,0,0,0,0,,,,
Achteinhalb (1963),http://www.imdb.com/title/tt0056801/,8.2,8280,1963,0,0,0,0,0,1,0,0,0,0,,,,
Dr. Seltsam\, die Bombe zu lieben (1964),dr seltsam oder wie ich lernte die bombe zu lieben,8.6,263157,782,0,0,0,0,0,0,0,0,0,1,0,,
Gesprengte Ketten (1963),http://www.imdb.com/title/tt0057115/,8.3,10320,1963,0,1,0,0,0,1,0,0,0,0,,,,
Für eine Handvoll Dollar (1964),http://www.imdb.com/title/tt0058461/,8.1,5940,1964,0,0,0,0,0,0,0,0,0,0,,,,
Schlacht um Algier (1966),http://www.imdb.com/title/tt0058946/,8.2,7260,1966,0,0,0,0,1,1,0,0,0,0,,,,
Für ein paar Dollar mehr (1965),http://www.imdb.com/title/tt0059578/,8.4,7920,1965,0,0,0,0,0,0,0,0,0,0,,,,
Zwei glorreiche Halunken (1966),http://www.imdb.com/title/tt0060196/,9,9660,1966,0,1,0,0,0,0,0,0,0,0,,,,
Persona (1966),http://www.imdb.com/title/tt0060827/,8.2,5100,1966,0,0,0,0,0,1,0,0,0,0,,,,
Wer hat Angst vor Virginia Woolf? (1966),http://www.imdb.com/title/tt0061184/,8.2,7860,1966,0,0,0,0,0,1,0,0,0,0,,,,
Der Unbeugsame (1967),http://www.imdb.com/title/tt0061512/,8.2,7560,1967,0,0,0,0,1,1,0,0,0,0,,,,
Die Reifeprüfung (1967),http://www.imdb.com/title/tt0061722/,8.1,6360,1967,0,0,0,1,0,1,0,1,0,0,,,,
2001: Odyssee im Weltraum (1968),http://www.imdb.com/title/tt0062622/,8.3,9600,1968,0,1,0,0,0,0,0,0,1,0,,,,
Butch Cassidy und Sundance Kid (1969),http://www.imdb.com/title/tt0064115/,8.2,6600,1969,0,1,0,0,1,0,0,0,0,0,,,,
Spiel mir das Lied vom Tod (1968),http://www.imdb.com/title/tt0064116/,8.7,10500,1968,0,0,0,0,0,0,0,0,0,0,,,,
Uhrwerk Orange (1971),http://www.imdb.com/title/tt0066921/,8.4,8160,1971,0,0,0,0,1,1,0,0,1,0,,,,
Der Pate (1972),http://www.imdb.com/title/tt0068646/,9.2,10500,1972,0,0,0,0,1,1,0,0,0,0,,,,
Der Clou (1973),http://www.imdb.com/title/tt0070735/,8.4,7740,1973,0,0,0,1,1,1,0,0,0,0,,,,
Chinatown (1974),http://www.imdb.com/title/tt0071315/,8.3,7800,1974,0,0,0,0,0,1,0,0,0,1,,,,
Der Pate 2 (1974),http://www.imdb.com/title/tt0071562/,9.1,12000,1974,0,0,0,0,1,1,0,0,0,0,,,,
Die Ritter der Kokosnuß (1975),http://www.imdb.com/title/tt0071853/,8.4,5460,1975,0,1,0,1,0,0,0,0,0,0,,,,
Barry Lyndon (1975),http://www.imdb.com/title/tt0072684/,8.1,11040,1975,0,0,0,0,0,1,0,0,0,0,,,,
Hundstage (1975),http://www.imdb.com/title/tt0072890/,8.1,7500,1975,0,0,0,0,1,1,0,0,0,0,,,,
Der weiße Hai (1975),http://www.imdb.com/title/tt0073195/,8.1,7440,1975,0,1,0,0,0,0,1,0,0,1,,,,
Einer flog über das Kuckucksnest (1975),http://www.imdb.com/title/tt0073486/,8.8,7980,1975,0,0,0,0,0,1,0,0,0,0,,,,
Network (1976),http://www.imdb.com/title/tt0074958/,8.2,7260,1976,0,0,0,0,0,1,0,0,0,0,,,,
Rocky (1976),http://www.imdb.com/title/tt0075148/,8.1,7140,1976,0,0,0,0,0,1,0,0,0,0,,,,
Taxi Driver (1976),http://www.imdb.com/title/tt0075314/,8.4,6780,1976,0,0,0,0,1,1,0,0,0,0,,,,
Der Stadtneurotiker (1977),http://www.imdb.com/title/tt0075686/,8.2,5580,1977,0,0,0,1,0,0,0,1,0,0,,,,
Krieg der Sterne (1977),http://www.imdb.com/title/tt0076759/,8.7,7260,1977,1,1,0,0,0,0,0,0,0,0,,,,
Die durch die Hölle gehen (1978),http://www.imdb.com/title/tt0077416/,8.2,10920,1978,0,0,0,0,0,1,0,0,0,0,,,,
Alien - Das unheimliche Wesen aus einer fremden Welt (1979),http://www.imdb.com/title/tt0078748/,8.5,7020,1979,0,0,0,0,0,0,1,0,1,0,,,,
Apocalypse Now (1979),http://www.imdb.com/title/tt0078788/,8.5,9180,1979,0,0,0,0,0,1,0,0,0,0,,,,
Das Leben des Brian (1979),http://www.imdb.com/title/tt0079470/,8.2,5640,1979,0,0,0,1,0,0,0,0,0,0,,,,
Stalker (1979),http://www.imdb.com/title/tt0079944/,8.2,9780,1979,0,0,0,0,0,1,0,0,1,0,,,,
Der Elefantenmensch (1980),http://www.imdb.com/title/tt0080678/,8.3,7440,1980,0,0,0,0,0,1,0,0,0,0,,,,
Das Imperium schlägt zurück (1980),http://www.imdb.com/title/tt0080684/,8.8,7440,1980,1,1,0,0,0,0,0,0,1,0,,,,
Wie ein wilder Stier (1980),http://www.imdb.com/title/tt0081398/,8.3,7740,1980,0,0,0,0,0,1,0,0,0,0,,,,
Shining (1980),http://www.imdb.com/title/tt0081505/,8.5,8640,1980,0,0,0,0,0,0,1,0,0,0,,,,
Das Boot (1981),http://www.imdb.com/title/tt0082096/,8.5,8940,1981,1,1,0,0,0,1,0,0,0,0,,,,
Jäger des verlorenen Schatzes (1981),http://www.imdb.com/title/tt0082971/,8.6,6900,1981,1,1,0,0,0,0,0,0,0,0,,,,
Der Blade Runner (1982),http://www.imdb.com/title/tt0083658/,8.3,7020,1982,0,0,0,0,0,1,0,0,1,1,,,,
Fanny und Alexander (1982),http://www.imdb.com/title/tt0083922/,8.2,11280,1982,0,0,0,0,0,1,0,0,0,0,,,,
Gandhi (1982),http://www.imdb.com/title/tt0083987/,8.1,11460,1982,0,0,0,0,0,1,0,0,0,0,,,,
Das Ding aus einer anderen Welt (1982),http://www.imdb.com/title/tt0084787/,8.2,6540,1982,0,0,0,0,0,0,1,0,1,0,,,,
Fröhliche Weihnachten (1983),http://www.imdb.com/title/tt0085334/,8.1,5640,1983,0,0,0,1,0,0,0,0,0,0,,,,
Die Rückkehr der Jedi-Ritter (1983),http://www.imdb.com/title/tt0086190/,8.4,8040,1983,1,1,0,0,0,0,0,0,0,0,,,,
Scarface - Toni\,scarface toni das narbengesicht,http://www.imdb.com/title/tt0086250/,379114,10200,2,0,0,0,0,0,0,0,0,0,0,,,
Amadeus (1984),http://www.imdb.com/title/tt0086879/,8.4,9600,1984,0,0,0,0,0,1,0,0,0,0,,,,
Nausicaä - Prinzessin aus dem Tal der Winde (1984),http://www.imdb.com/title/tt0087544/,8.2,7020,1984,1,1,1,0,0,0,0,0,0,0,,,,
Es war einmal in Amerika (1984),http://www.imdb.com/title/tt0087843/,8.4,13740,1984,0,0,0,0,1,1,0,0,0,0,,,,
Terminator (1984),http://www.imdb.com/title/tt0088247/,8.1,6420,1984,1,0,0,0,0,0,0,0,1,0,,,,
Zurück in die Zukunft (1985),http://www.imdb.com/title/tt0088763/,8.5,6960,1985,0,1,0,1,0,0,0,0,1,0,,,,
Ran (1985),http://www.imdb.com/title/tt0089881/,8.3,9720,1985,1,0,0,0,0,1,0,0,0,0,,,,
Aliens - Die Rückkehr (1986),http://www.imdb.com/title/tt0090605/,8.5,8220,1986,1,1,0,0,0,0,0,0,1,0,,,,
Platoon (1986),http://www.imdb.com/title/tt0091763/,8.2,7200,1986,1,0,0,0,0,1,0,0,0,0,,,,
Stand by Me - Das Geheimnis eines Sommers (1986),http://www.imdb.com/title/tt0092005/,8.2,5340,1986,0,1,0,0,0,1,0,0,0,0,,,,
Das Schloss im Himmel (1986),http://www.imdb.com/title/tt0092067/,8.1,7440,1986,1,1,1,0,0,0,0,0,0,0,,,,
Full Metal Jacket (1987),http://www.imdb.com/title/tt0093058/,8.4,6960,1987,0,0,0,0,0,1,0,0,0,0,,,,
Die Braut des Prinzen (1987),http://www.imdb.com/title/tt0093779/,8.2,5880,1987,0,1,0,1,0,0,0,0,0,0,,,,
Stirb langsam (1988),http://www.imdb.com/title/tt0095016/,8.3,7860,1988,1,0,0,0,0,0,0,0,0,1,,,,
Die letzten Leuchtkäfer (1988),http://www.imdb.com/title/tt0095327/,8.5,5340,1988,0,0,1,0,0,1,0,0,0,0,,,,
Cinema Paradiso (1988),http://www.imdb.com/title/tt0095765/,8.5,9300,1988,0,0,0,0,0,1,0,0,0,0,,,,
Mein Nachbar Totoro (1988),http://www.imdb.com/title/tt0096283/,8.3,5160,1988,0,0,1,0,0,0,0,0,0,0,,,,
Indiana Jones und der letzte Kreuzzug (1989),http://www.imdb.com/title/tt0097576/,8.3,7620,1989,1,1,0,0,0,0,0,0,0,0,,,,
GoodFellas - Drei Jahrzehnte in der Mafia (1990),http://www.imdb.com/title/tt0099685/,8.8,8760,1990,0,0,0,0,1,1,0,0,0,0,,,,
Die Schöne und das Biest (1991),http://www.imdb.com/title/tt0101414/,8.1,5040,1991,0,0,1,0,0,0,0,0,0,0,,,,
Das Schweigen der Lämmer (1991),http://www.imdb.com/title/tt0102926/,8.6,7080,1991,0,0,0,0,1,1,0,0,0,1,,,,
Terminator 2 - Tag der Abrechnung (1991),http://www.imdb.com/title/tt0103064/,8.5,8220,1991,1,0,0,0,0,0,0,0,1,1,,,,
Reservoir Dogs - Wilde Hunde (1992),http://www.imdb.com/title/tt0105236/,8.4,5940,1992,0,0,0,0,1,0,0,0,0,1,,,,
Erbarmungslos (1992),http://www.imdb.com/title/tt0105695/,8.3,7860,1992,0,0,0,0,0,0,0,0,0,0,,,,
...und täglich grüßt das Murmeltier (1993),http://www.imdb.com/title/tt0107048/,8.1,6060,1993,0,0,0,1,0,1,0,0,0,0,,,,
Im Namen des Vaters (1993),http://www.imdb.com/title/tt0107207/,8.2,7980,1993,0,0,0,0,0,1,0,0,0,1,,,,
Schindlers Liste (1993),http://www.imdb.com/title/tt0108052/,8.9,11700,1993,0,0,0,0,0,1,0,0,0,0,,,,
Forrest Gump (1994),http://www.imdb.com/title/tt0109830/,8.8,8520,1994,0,0,0,0,0,1,0,1,0,0,,,,
Der König der Löwen (1994),http://www.imdb.com/title/tt0110357/,8.5,5340,1994,0,1,1,0,0,1,0,0,0,0,,,,
Léon - Der Profi (1994),http://www.imdb.com/title/tt0110413/,8.6,6600,1994,0,0,0,0,1,1,0,0,0,1,,,,
Pulp Fiction (1994),http://www.imdb.com/title/tt0110912/,9,9240,1994,0,0,0,0,1,1,0,0,0,1,,,,
Die Verurteilten (1994),http://www.imdb.com/title/tt0111161/,9.3,8520,1994,0,0,0,0,1,1,0,0,0,0,,,,
Drei Farben - Rot (1994),http://www.imdb.com/title/tt0111495/,8.1,5940,1994,0,0,0,0,0,1,0,1,0,0,,,,
Before Sunrise - Zwischenstopp in Wien (1995),http://www.imdb.com/title/tt0112471/,8.1,6300,1995,0,0,0,0,0,1,0,1,0,0,,,,
Braveheart (1995),http://www.imdb.com/title/tt0112573/,8.4,10620,1995,1,0,0,0,0,1,0,0,0,0,,,,
Casino (1995),http://www.imdb.com/title/tt0112641/,8.2,10680,1995,0,0,0,0,1,1,0,0,0,0,,,,
Hass (1995),http://www.imdb.com/title/tt0113247/,8.1,5880,1995,0,0,0,0,0,1,0,0,0,0,,,,
Heat (1995),http://www.imdb.com/title/tt0113277/,8.3,10200,1995,1,0,0,0,1,1,0,0,0,0,,,,
Sieben (1995),http://www.imdb.com/title/tt0114369/,8.7,7620,1995,0,0,0,0,1,0,0,0,0,1,,,,
Toy Story (1995),http://www.imdb.com/title/tt0114709/,8.3,4860,1995,0,1,1,1,0,0,0,0,0,0,,,,
12 Monkeys (1995),http://www.imdb.com/title/tt0114746/,8.1,7740,1995,0,0,0,0,0,0,0,0,1,1,,,,
Underground (1995),http://www.imdb.com/title/tt0114787/,8.2,10200,1995,0,0,0,1,0,1,0,0,0,0,,,,
Die üblichen Verdächtigen (1995),http://www.imdb.com/title/tt0114814/,8.7,6360,1995,0,0,0,0,1,0,0,0,0,1,,,,
Fargo - Blutiger Schnee (1996),http://www.imdb.com/title/tt0116282/,8.2,5880,1996,0,0,0,0,1,1,0,0,0,1,,,,
Trainspotting - Neue Helden (1996),http://www.imdb.com/title/tt0117951/,8.2,5640,1996,0,0,0,0,1,1,0,0,0,0,,,,
In the Mood for Love - Der Klang der Liebe (2000),http://www.imdb.com/title/tt0118694/,8.1,5880,2000,0,0,0,0,0,1,0,1,0,0,,,,
The Big Lebowski (1998),http://www.imdb.com/title/tt0118715/,8.2,7020,1998,0,0,0,1,1,0,0,0,0,0,,,,
Das Leben ist schön (1997),http://www.imdb.com/title/tt0118799/,8.6,6960,1997,0,0,0,1,0,1,0,1,0,0,,,,
Good Will Hunting - Der gute Will Hunting (1997),http://www.imdb.com/title/tt0119217/,8.2,7560,1997,0,0,0,0,0,1,0,0,0,0,,,,
L.A. Confidential (1997),http://www.imdb.com/title/tt0119488/,8.3,8280,1997,0,0,0,0,1,1,0,0,0,0,,,,
Prinzessin Mononoke (1997),http://www.imdb.com/title/tt0119698/,8.5,8040,1997,0,1,1,0,0,0,0,0,0,0,,,,
Die Truman Show (1998),http://www.imdb.com/title/tt0120382/,8,6180,1998,0,0,0,1,0,1,0,0,1,0,,,,
American History X (1998),http://www.imdb.com/title/tt0120586/,8.6,7140,1998,0,0,0,0,1,1,0,0,0,0,,,,
The Green Mile (1999),http://www.imdb.com/title/tt0120689/,8.5,11340,1999,0,0,0,0,1,1,0,0,0,0,,,,
Bube Dame König grAS (1998),http://www.imdb.com/title/tt0120735/,8.2,6420,1998,0,0,0,1,1,0,0,0,0,0,,,,
Der Herr der Ringe - Die Gefährten (2001),http://www.imdb.com/title/tt0120737/,8.9,10680,2001,1,1,0,0,0,0,0,0,0,0,,,,
Der Soldat James Ryan (1998),http://www.imdb.com/title/tt0120815/,8.6,10140,1998,1,0,0,0,0,1,0,0,0,0,,,,
Matrix (1999),http://www.imdb.com/title/tt0133093/,8.7,8160,1999,1,0,0,0,0,0,0,0,1,0,,,,
Fight Club (1999),http://www.imdb.com/title/tt0137523/,8.9,8340,1999,0,0,0,0,0,1,0,0,0,0,,,,
Das Fest (1998),http://www.imdb.com/title/tt0154420/,8.2,6300,1998,0,0,0,0,0,1,0,0,0,0,,,,
Der Herr der Ringe - Die Rückkehr des Königs (2003),http://www.imdb.com/title/tt0167260/,8.9,12060,2003,1,1,0,0,0,0,0,0,0,0,,,,
Der Herr der Ringe - Die zwei Türme (2002),http://www.imdb.com/title/tt0167261/,8.8,10740,2002,1,1,0,0,0,0,0,0,0,0,,,,
Sixth Sense (1999),http://www.imdb.com/title/tt0167404/,8.2,6420,1999,0,0,0,0,0,1,0,0,0,1,,,,
Lagaan: Once Upon a Time in India (2001),http://www.imdb.com/title/tt0169102/,8.3,13440,2001,0,1,0,0,0,1,0,0,0,0,,,,
American Beauty (1999),http://www.imdb.com/title/tt0169547/,8.5,7320,1999,0,0,0,0,0,1,0,0,0,0,,,,
Gladiator (2000),http://www.imdb.com/title/tt0172495/,8.5,9300,2000,1,1,0,0,0,1,0,0,0,0,,,,
Requiem for a Dream (2000),http://www.imdb.com/title/tt0180093/,8.4,6120,2000,0,0,0,0,0,1,0,0,0,0,,,,
Die Monster AG (2001),http://www.imdb.com/title/tt0198781/,8.1,5520,2001,0,1,1,1,0,0,0,0,0,0,,,,
Snatch - Schweine und Diamanten (2000),http://www.imdb.com/title/tt0208092/,8.4,6240,2000,0,0,0,1,1,0,0,0,0,0,,,,
Memento (2000),http://www.imdb.com/title/tt0209144/,8.6,6780,2000,0,0,0,0,0,0,0,0,0,1,,,,
Die fabelhafte Welt der Amelie (2001),http://www.imdb.com/title/tt0211915/,8.5,7320,2001,0,0,0,1,0,0,0,1,0,0,,,,
Chihiros Reise ins Zauberland (2001),http://www.imdb.com/title/tt0245429/,8.6,7500,2001,0,1,1,0,0,0,0,0,0,0,,,,
Amores perros (2000),http://www.imdb.com/title/tt0245712/,8.2,9240,2000,0,0,0,0,0,1,0,0,0,1,,,,
Donnie Darko (2001),http://www.imdb.com/title/tt0246578/,8.1,6780,2001,0,0,0,0,0,1,0,0,1,0,,,,
Der Pianist (2002),http://www.imdb.com/title/tt0253474/,8.5,9000,2002,0,0,0,0,0,1,0,0,0,0,,,,
Findet Nemo (2003),http://www.imdb.com/title/tt0266543/,8.2,6000,2003,0,1,1,1,0,0,0,0,0,0,,,,
Kill Bill: Vol. 1 (2003),http://www.imdb.com/title/tt0266697/,8.2,6660,2003,1,0,0,0,1,0,0,0,0,0,,,,
A Beautiful Mind - Genie und Wahnsinn (2001),http://www.imdb.com/title/tt0268978/,8.2,8100,2001,0,0,0,0,0,1,0,0,0,0,,,,
City of God (2002),http://www.imdb.com/title/tt0317248/,8.7,7800,2002,0,0,0,0,1,1,0,0,0,0,,,,
Fluch der Karibik (2003),http://www.imdb.com/title/tt0325980/,8.1,8580,2003,1,1,0,0,0,0,0,0,0,0,,,,
Vergiss mein nicht (2004),http://www.imdb.com/title/tt0338013/,8.4,6480,2004,0,0,0,0,0,1,0,1,1,0,,,,
Infernal Affairs - Die achte Hölle (2002),http://www.imdb.com/title/tt0338564/,8.2,6060,2002,0,0,0,0,1,0,0,0,0,1,,,,
Das wandelnde Schloss (2004),http://www.imdb.com/title/tt0347149/,8.2,7140,2004,0,1,1,0,0,0,0,0,0,0,,,,
Salinui chueok (2003),http://www.imdb.com/title/tt0353969/,8.1,7800,2003,0,0,0,0,1,1,0,0,0,0,,,,
Inglourious Basterds (2009),http://www.imdb.com/title/tt0361748/,8.3,9180,2009,0,1,0,0,0,1,0,0,0,0,,,,
Der Untergang (2004),http://www.imdb.com/title/tt0363163/,8.3,9360,2004,0,0,0,0,0,1,0,0,0,0,,,,
Oldboy (2003),http://www.imdb.com/title/tt0364569/,8.4,7200,2003,0,0,0,0,0,1,0,0,0,1,,,,
Swades: We\,swades we the people,http://www.imdb.com/title/tt0367110/,27617,12600,1,0,0,0,0,0,0,0,0,0,0,,,
Batman Begins (2005),http://www.imdb.com/title/tt0372784/,8.3,8400,2005,1,0,0,0,1,1,0,0,0,0,,,,
Before Sunset (2004),http://www.imdb.com/title/tt0381681/,8.1,4800,2004,0,0,0,0,0,1,0,1,0,0,,,,
Hotel Ruanda (2004),http://www.imdb.com/title/tt0395169/,8.2,7260,2004,0,0,0,0,0,1,0,0,0,0,,,,
Schmetterling und Taucherglocke (2007),http://www.imdb.com/title/tt0401383/,8.1,6720,2007,0,0,0,0,0,1,0,0,0,0,,,,
Sin City (2005),http://www.imdb.com/title/tt0401792/,8.2,7440,2005,0,0,0,0,1,0,0,0,0,1,,,,
Das Leben der Anderen (2006),http://www.imdb.com/title/tt0405094/,8.5,8220,2006,0,0,0,0,0,1,0,0,0,1,,,,
Million Dollar Baby (2004),http://www.imdb.com/title/tt0405159/,8.1,7920,2004,0,0,0,0,0,1,0,0,0,0,,,,
Rang De Basanti (2006),http://www.imdb.com/title/tt0405508/,8.6,9420,2006,0,0,0,0,0,1,0,0,0,0,,,,
Departed - Unter Feinden (2006),http://www.imdb.com/title/tt0407887/,8.5,9060,2006,0,0,0,0,1,1,0,0,0,1,,,,
V wie Vendetta (2005),http://www.imdb.com/title/tt0434409/,8.2,7920,2005,1,0,0,0,0,0,0,0,1,1,,,,
